HOMELON,HOMELAT,HOME_FED,TOTAL_PLAYERS,CLUB
-123.11,49.27,CONCACAF,1,Vancouver Whitecaps  
-122.68,45.52,CONCACAF,2,Portland Timbers  
-122.33,47.59,CONCACAF,2,Seattle Sounders  
-121.92,37.35,CONCACAF,2,San Jose Earthquakes 
-118.28,34.01,CONCACAF,3,Los Angeles  
-118.26,33.86,UEFA,2,LA Galaxy 
-103.32,20.7,UEFA,1,Atlas
-101.65,21.11,UEFA,1,Leon
-101.23,19.71,UEFA,1,Morelia
-100.31,25.72,UEFA,3,UANL
-100.24,25.66,UEFA,3,Monterrey
-99.66,19.28,AFC,1,Toluca
-99.15,19.3,CONMEBOL,3,America
-99.15,19.3,CONCACAF,1,Cruz Azul  
-98.75,20.1,UEFA,3,Pachuca
-98.19,18.99,UEFA,1,BUAP
-98.16,19.07,UEFA,1,Puebla
-96.12,19.16,CONMEBOL,4,Veracruz
-95.35,29.75,CONCACAF,1,Houston Dynamo  
-93.22,44.97,CONCACAF,1,Minnesota United  
-92.29,14.86,UEFA,1,Tapachula
-87.21,14.1,CONCACAF,2,Municipal
-87.2,14.09,UEFA,1,Olimpia
-84.2,10.02,CONCACAF,3,Alajuelense  
-84.12,9.99,CONCACAF,2,Herediano  
-84.07,9.96,CONCACAF,3,Saprissa  
-81.38,28.54,CONCACAF,1,Orlando City  
-79.77,8.88,CONCACAF,1,San Francisco  
-79.54,8.94,CAF,1,Chorrillo
-78.51,-7.16,AFC,1,UTC
-77.11,-12.05,CONMEBOL,1,Sport Boys  
-77.02,-12.06,CONMEBOL,1,Alianza Lima  
-76.93,-12.05,CONMEBOL,1,Universitario de Deportes 
-76.41,3.52,CONMEBOL,2,Deportivo Cali  
-75.48,5.056,CONMEBOL,1,Once Caldas  
-75.37,6.14,CONMEBOL,1,Rionegro Ãguilas  
-74.8,10.92,UEFA,1,Junior
-74.15,40.73,CONCACAF,2,New York Red Bulls
-73.92,40.82,CONCACAF,1,New York City 
-73.11,7.13,CONCACAF,1,Atlético Bucaramanga
-73.1,-36.75,CONCACAF,1,Huachipato
-71.52,-16.4,AFC,1,Melgar
-70.61,-33.46,CONMEBOL,1,Universidad de Chile 
-58.44,-34.54,CONMEBOL,3,River Plate  
-58.37,-34.67,UEFA,3,Independiente
-58.36,-34.63,CONMEBOL,3,Boca Juniors  
-57.6,-25.29,UEFA,1,Olimpia
-56.06,-34.79,UEFA,2,PeÃ±arol
-52.33,-31.77,UEFA,1,Gremio
-46.72,-23.6,CONCACAF,1,Sao Paulo  
-46.67,-23.52,AFC,1,Palmeiras
-46.47,-23.54,UEFA,2,Corinthians
-43.97,-19.86,CONCACAF,1,Cruzeiro
-43.23,-22.91,CONCACAF,1,Plaza Amador  
