COUNTRY_NATION_TEAM,PLAYER_NUMBER,PLAYER_POSITION,PLAYER_FNAME,PLAYER_LNAME,PLAYER_BIRTH_DAY,PLAYER_BIRTH_MONTH,PLAYER_BIRTH_YEAR,PLAYER_AGE,PLAYER_CAPS,PLAYER_GOALS,PLAYER_CLUB_COUNTRY,PLAYER_CLUB
BEL,23,MF,Leander,Dendoncker,15,4,1995,23,5,0,BEL,Anderlecht   
CRO,12,GK,Lovre,Kalinić,3,4,1990,28,11,0,BEL,Gent   
NGA,10,MF,John,Obi Mikel,22,4,1987,31,84,6,CHI,Tianjin TEDA  
CRC,23,GK,Leonel,Moreira,2,4,1990,28,8,0,CRC, Herediano  
ISL,1,GK,Hannes,Þór Halldórsson,27,4,1984,34,51,0,DEN,Randers   
EGY,12,DF,Ayman,Ashraf,9,4,1991,27,5,1,EGY,Al Ahly  
EGY,20,DF,Saad,Samir,1,4,1989,29,10,0,EGY,Al Ahly  
AUS,1,GK,Mathew,Ryan,8,4,1992,26,46,0,ENG,Brighton & Hove Albion
ENG,23,GK,Nick,Pope,19,4,1992,26,1,0,ENG,Burnley   
DEN,6,DF,Andreas,Christensen,10,4,1996,22,18,1,ENG,Chelsea   
SRB,4,MF,Luka,Milivojević,7,4,1991,27,30,1,ENG,Crystal Palace  
DEN,13,DF,Mathias,Jørgensen,23,4,1990,28,13,0,ENG,Huddersfield Town  
JPN,9,FW,Shinji,Okazaki,16,4,1986,32,115,50,ENG,Leicester City  
SEN,10,FW,Sadio,Mané,10,4,1992,26,54,15,ENG,Liverpool   
SRB,16,MF,Marko,Grujić,13,4,1996,22,8,0,ENG,Liverpool   
BEL,4,DF,Vincent,Kompany,10,4,1986,32,77,4,ENG,Manchester City  
BRA,9,FW,Gabriel,Jesus,3,4,1997,21,19,10,ENG,Manchester City  
AUS,3,DF,James,Meredith,4,4,1988,30,2,0,ENG,Millwall   
POL,5,DF,Jan,Bednarek,12,4,1996,22,5,0,ENG,Southampton   
BEL,5,DF,Jan,Vertonghen,24,4,1987,31,104,8,ENG,Tottenham Hotspur  
ENG,20,MF,Dele,Alli,11,4,1996,22,26,2,ENG,Tottenham Hotspur  
POL,22,GK,Łukasz,Fabiański,18,4,1985,33,45,0,ENG,West Ham United 
SEN,14,FW,Moussa,Konaté,3,4,1993,25,28,10,FRA,Amiens   
JPN,19,DF,Hiroki,Sakai,12,4,1990,28,45,0,FRA,Marseille   
ARG,20,MF,Giovani,Lo Celso,9,4,1996,22,5,0,FRA,Paris Saint-Germain  
TUN,7,MF,Saîf-Eddine,Khaoui,27,4,1995,23,6,0,FRA,Troyes   
ESP,10,MF,Thiago,,11,4,1991,27,31,2,GER,Bayern Munich  
SWE,6,DF,Ludwig,Augustinsson,21,4,1994,24,17,0,GER,Werder Bremen  
IRN,10,FW,Karim,Ansarifard,3,4,1990,28,64,17,GRE,Olympiacos   
SRB,8,FW,Aleksandar,Prijović,21,4,1990,28,10,1,GRE,PAOK   
ISL,16,MF,Ólafur,Ingi Skúlason,1,4,1983,35,36,1,ISL,Fylkir   
IRN,11,MF,Vahid,Amiri,2,4,1988,30,38,1,IRN,Persepolis   
NGA,19,MF,John,Ogu,20,4,1988,30,19,2,ISR,Hapoel Be'er Sheva 
SUI,8,MF,Remo,Freuler,15,4,1992,26,10,0,ITA,Atalanta   
SUI,15,MF,Blerim,Džemaili,12,4,1986,32,67,9,ITA,Bologna   
SWE,14,DF,Filip,Helander,22,4,1993,25,4,0,ITA,Bologna   
FRA,14,MF,Blaise,Matuidi,9,4,1987,31,69,9,ITA,Juventus   
GER,6,MF,Sami,Khedira,4,4,1987,31,76,7,ITA,Juventus   
MAR,5,DF,Medhi,Benatia,17,4,1987,31,59,2,ITA,Juventus   
POL,1,GK,Wojciech,Szczęsny,18,4,1990,28,37,0,ITA,Juventus   
URU,22,DF,Martín,Cáceres,7,4,1987,31,79,4,ITA,Lazio   
POL,4,DF,Thiago,Cionek,21,4,1986,32,20,0,ITA,SPAL   
SUI,11,MF,Valon,Behrami,19,4,1985,33,81,2,ITA,Udinese   
AUS,2,DF,Milos,Degenek,28,4,1994,24,18,0,JPN,Yokohama F. Marinos 
PER,23,MF,Pedro,Aquino,13,4,1995,23,15,0,MEX,León   
COL,3,DF,Óscar,Murillo,18,4,1988,30,14,0,MEX,Pachuca   
MAR,22,GK,Ahmed,Reda Tagnaouti,5,4,1996,22,2,0,MAR,IR Tanger  
IRN,22,GK,Amir,Abedzadeh,26,4,1993,25,1,0,POR,Marítimo   
MEX,16,MF,Héctor,Herrera,19,4,1990,28,68,5,POR,Porto   
IRN,8,DF,Morteza,Pouraliganji,19,4,1992,26,30,2,QAT,Al-Sadd   
RUS,1,GK,Igor,Akinfeev,8,4,1986,32,109,0,RUS,CSKA Moscow  
SWE,4,DF,Andreas,Granqvist,16,4,1985,33,74,7,RUS,Krasnodar   
RUS,13,DF,Fyodor,Kudryashov,5,4,1987,31,21,0,RUS,Rubin Kazan  
